# File: AlexandriaLib/tables/HF-6-311G**.csv Date: 2017-10-08 14:52:19
#
# Quantum mechanic results for molecular dipole and Polarizability at 298.15K in the gas phase.
# Computed using HF/6-311G** method.
# References at the bottom of the file as comments.
#
# More information is on http://virtualchemistry.org
#
#|||||||||||dipole|||||Polarizability|||||
# Alexandria ID|Compound|Formula|Charge|Multiplicity|CAS no.|ChemSpider ID|PubChem ID|Rotatable Bonds|StdInChI|InChIkey||Exp.|Error|Ref.|HF/6-311G**||Exp.|Error|Ref.|HF/6-311G**||Filename|
329|sulfanylideneberyllium|BeS|0|1|13598-22-6|75431|83605|0|InChI=1S/Be.S|FQDSYGKTHDFFCM-UHFFFAOYSA-N|||||6.57|||||5.89||beryllium-sulfide
332|oxo-oxoboranyloxy-borane|B2O3|0|1|1303-86-2|452485||0|InChI=1S/B2O3/c3-1-5-2-4||||||1.41|||||3.42||boric-anhydride
337|azanylidyneborane|BN|0|1|10043-11-5|59612|66227|0|InChI=1S/BN/c1-2|PZNSFCLAULLKQX-UHFFFAOYSA-N|||||4.55|||||53.10||boron-nitride
338|tetrafluoroborate|BF4-|-1|1|61674-41-7|24463|26255|0|InChI=1S/BF4/c2-1(3,4)5/q-1|ODGCEQLVLXJUCC-UHFFFAOYSA-N|||||0.00|||||1.83||boron-tetrafluoride
339|tribromoborane|BBr3|0|1|10294-33-4|23479|25134|0|InChI=1S/BBr3/c2-1(3)4|ILAHWRKJUDSMFH-UHFFFAOYSA-N||0.00|0.00|38|0.00||11.40|0.10|341|8.28||boron-tribromide
340|trichloroborane|BCl3|0|1|10294-34-5|23480|25135|0|InChI=1S/BCl3/c2-1(3)4|FAQYAMRNWDIXMY-UHFFFAOYSA-N||0.00|0.00|22|0.00||9.38|0.00|19|5.74||boron-trichloride
341|trifluoroborane|BF3|0|1|372-85-0|6116|6356|0|InChI=1S/BF3/c2-1(3)4|WTEOIRVLGSZEPR-UHFFFAOYSA-N||0.00|0.00|22|0.00||2.65|0.15|341|1.45||boron-trifluoride
342|triiodoborane|BI3|0|1|5967-38-4|75378|83546|0|InChI=1S/BI3/c2-1(3)4|YMEKEHSRPZAOGO-UHFFFAOYSA-N|||||0.00|||||13.49||boron-triiodide
343|boranylidynephosphane|BP|0|1|20205-91-8|79763|88409|0|InChI=1S/BP/c1-2|FFBGYFUYJVKRNV-UHFFFAOYSA-N|||||1.86|||||11.08||boron-phosphide
344|bromine chloride|BrCl|0|1|13863-41-7|55600||0|InChI=1S/BrCl/c1-2|||0.52|0.00|38|0.73|||||3.47||bromine-chloride
345|bromine fluoride|BrF|0|1|13863-59-7|123145||0|InChI=1S/BrF/c1-2|||1.42|0.00|38|2.00|||||2.04||bromine-fluoride
346|molecular bromine|Br2|0|1|23724-81-4|22817|24408|0|InChI=1S/Br2/c1-2|GDTBXPJZTBHREO-UHFFFAOYSA-N||0.00|0.00|22|0.00||7.42|0.00|22|4.33||bromine
347|pentafluoro-lambda-5-bromane|BrF5|0|1|7789-30-2|23008||0|InChI=1S/BrF5/c2-1(3,4,5)6|||1.51|0.00|38|1.86|||||4.09||bromine-pentafluoride
359|bromo(trifluoro)silane|BrF3Si|0|1|14049-39-9|123180|139672|0|InChI=1S/BrF3Si/c1-5(2,3)4|AQWNPYLONRVQCU-UHFFFAOYSA-N||0.83|0.01|19|0.85|||||4.00||bromotrifluorosilane
368|calcium bromide chloride|CaBrCl|0|1||||0|InChI=1S/BrH.Ca.ClH/h1H;;1H/q;+2;/p-2||||||0.01|||||6.15||calcium-bromide-chloride
369|calcium bromide fluoride|CaBrF|0|1||||0|InChI=1S/BrH.Ca.FH/h1H;;1H/q;+2;/p-2||||||2.22|||||4.34||calcium-bromide-fluoride
