Composition,Bandgap,theory_data,expt_data,Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,ML PBE bandgap,cost,pbe_values
MnCo5O12,0,1,0,-0.436396078,-0.687209154,0.606760154,-0.835895121,0.939606372,0.108655549,0.450789077,0.945547192,-0.325005182,0.845684376,-0.247180423,0.367110916,0.195036335,-0.362604448,-0.028609297,0.457252318,-0.103619509,1.17398248,-0.204479013,0.25795119,0,0.1,0
FeBiO3,1.6195,1,0,-0.254931656,-0.665688523,0.608995163,-0.517505006,0.718462602,-0.129052144,0.529944974,0.724314133,0.008657306,0.629345787,0.057622587,1.076453826,0.443324855,-0.362604448,-0.31023553,0.139369593,-0.016728269,0.960169725,-0.241464222,0.227914785,0,0.1,1.6195
LuCuSn,0,1,0,1.19983383,0.83983988,-0.796080598,1.097757983,-1.330985233,0.326450557,-0.142880151,-1.324946408,1.305391068,-1.317701517,0.356299173,0.092526564,-0.996748558,-0.362604448,0.40466183,-0.905102219,-0.05061686,-0.970756882,-0.461845053,0.007864763,0,0.1,0
MnCuAs,0,1,0,0.828153008,1.231332212,-0.810049405,0.302581066,-0.631186427,0.737149713,0.450789077,-0.629921604,1.76038537,-1.317701517,0.673156795,0.435757004,-1.294694781,-0.362604448,0.609895522,-0.973219946,-0.92313146,-0.972059772,-0.547293638,-0.450979561,0,0.1,0
NbSbRh,0,1,0,1.354559837,1.327488223,-0.814891925,0.848666418,-0.942514242,1.75767489,1.875595224,-0.961269767,1.419139643,-1.317701517,1.021140296,0.22981874,-1.369181337,-0.362604448,2.377185645,-0.916455174,-1.67933926,-0.97112669,-0.706712642,0.143077399,0,0.1,0
LiNbO2,1.5791,1,0,-0.608759644,-0.523514992,0.617376447,-0.23152873,0.096568678,-0.437076512,-0.340769894,0.086668279,-0.742083292,0.304837903,-0.881789461,-1.051574904,0.219865187,-0.362604448,-0.223866351,1.104370723,-0.184256906,0.638039132,-0.177696621,0.199212609,0,0.1,1.5791
Mg(CoGe)6,0,1,0,0.638031926,1.279410217,-0.786209307,0.253204928,-0.84966318,0.510259969,0.391422154,-0.838240529,1.594137452,-1.317701517,0.218035497,0.550167151,-1.195379373,-0.362604448,0.482282265,-0.893749265,-0.779636056,-0.971701953,-0.577009341,-0.379224119,0,0.1,0
NiAsRh,0,1,0,1.295151066,1.526668532,-0.808373148,0.302581066,-0.641072422,1.981692612,1.875595224,-0.639552093,1.874133945,-1.317701517,0.752833396,0.527285121,-1.394010189,-0.362604448,2.320176286,-1.268396762,-0.893323124,-0.972023717,-0.60468448,0.099145495,0,0.1,0
Lu2Al3Co,0,1,0,0.473204403,1.011547043,-0.794031839,1.030694869,-1.669053856,0.457127561,0.391422154,-1.660709144,-0.571460429,-1.317701517,0.557002431,-0.204939818,-0.574658075,-0.362604448,0.438867445,-0.995925855,-0.309801949,-0.97124254,-0.44781618,-0.659900169,0,0.1,0
Ca(AlSe2)2,2.8461,1,0,-0.194325114,-0.786962839,-0.77950428,0.650214348,-0.710552215,-0.435209697,-0.578237585,-0.704847929,0.866646562,0.536629249,0.530882145,-0.273585906,-0.425684963,-0.362604448,-0.503741582,0.071251866,0.493226791,-0.970124426,-0.566551454,0.089048131,0,0.1,2.8461
AlH3,2.1973,1,0,-1.06050048,1.160932275,-0.778759277,-2.2577928,0.94960041,-0.588288474,-0.578237585,0.952291826,-1.083329019,1.116107613,-0.16282889,1.522653398,0.815757634,-0.362604448,-0.672815052,-1.018631764,0.744545222,1.445919924,-0.195806619,-0.439996586,0,0.1,2.1973
SrC2,0.9004,1,0,-0.578763244,1.135176201,-0.781739289,0.235517953,-0.124731755,-0.755057222,-0.972038173,-0.120075354,-1.083329019,0.845684376,0.772088404,-1.223190124,1.064046153,-0.362604448,-0.621506629,0.128016638,0.040393617,-0.970488117,1.543390941,-1.030392554,0,0.1,0.9004
Ag3SI,0.7366,1,0,0.913224112,-0.191776754,-0.694946433,-0.195602062,-0.451637306,-0.158921174,-0.499081688,-0.446524611,1.646636794,-0.019669981,0.083993784,1.556976442,3.07518316,0.372528125,0.081076709,-0.859690401,0.783304985,-0.970507868,3.259632166,1.152007729,0,0.1,0.7366
SnP,0,1,0,0.036897743,1.104268911,-0.626219901,0.422336626,-0.35462166,-0.494947757,-0.736549379,-0.349448805,0.622899614,0.304837903,2.271463165,1.45400731,-0.326369556,-0.362604448,-0.407721533,-1.427338125,-0.222053658,-0.969922111,-0.383283368,0.006644432,0,0.1,0
PH6NO4,5.044166667,1,0,-1.207854505,0.238864811,0.18397092,-2.241027021,1.760252016,-0.830974339,-1.092750916,1.761610293,-1.083329019,1.927377323,-0.331031646,1.762914706,2.156515638,4.701427213,-0.982090823,-0.269336768,0.68911214,1.981502403,-0.078729303,-0.103551426,0,0.1,5.044166667
Na2Mn2O3,0,1,0,-0.570828722,-0.44256733,0.590556337,0.079493567,-0.113572388,0.036294269,0.450789077,-0.109085224,-0.595835124,0.073046557,-0.396062118,-0.914282728,0.145378631,-0.362604448,-0.380601367,1.161135496,-0.035782689,0.408736214,-0.397057169,-0.298263897,0,0.1,0
LiTiFeO4,1.3366,1,0,-0.730304651,-0.61623686,0.614955187,-0.499439025,0.459305984,-0.136519402,0.529944974,0.465807325,-0.693333903,0.536629249,-0.733700566,-0.948605772,0.443324855,-0.362604448,-0.286780251,1.104370723,-0.037513874,0.867734409,-0.210855773,-0.006430539,0,0.1,1.3366
K2CuAs,1.5884,1,0,-0.097547501,0.295528174,-0.697740195,1.765994006,-1.461447957,-0.358670309,-0.142880151,-1.457452279,0.622899614,-1.317701517,-0.943878599,-0.685462434,0.64195567,-0.362604448,-0.278595335,-0.144454269,0.745462578,-0.966677565,-0.128978173,-0.335218996,0,0.1,1.5884
NaLi2N,2.3439,1,0,-1.107102903,0.408854902,-0.460456722,0.724120636,-0.965405993,-0.7217657,-1.009637224,-0.95872237,-1.083329019,-0.506431807,-1.259731165,-2.195676371,0.691613374,-0.362604448,-0.876766033,0.707017317,0.882744855,-0.165600334,-0.243249715,-0.799139896,0,0.1,2.3439
Re2C,0,1,0,2.91338206,1.883819431,-0.812098163,0.091811281,-0.312565664,3.599598381,2.429686503,-0.321130951,0.054156737,-0.23600857,1.880334228,0.355669901,-0.748460038,-0.362604448,3.40905504,-0.950514037,-3.164916123,-0.972494231,1.376319826,-0.670639078,0,0.1,0
BaZnSi,0,1,0,-0.030736134,0.620054712,-0.770377992,1.260625544,-0.978168651,-0.234838291,-0.241825023,-0.97197678,0.054156737,-1.317701517,0.205453003,-0.571052288,1.213019265,-0.362604448,0.026119687,-0.541807676,0.664764199,-0.968915807,0.243424619,-1.005985941,0,0.1,0
