Composition,Bandgap,theory_data,expt_data,Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,ML PBE bandgap,cost,pbe_values
H6PbCBr3N,2.8532,1,0,-0.711262889,0.456932907,-0.821783203,-2.497303919,1.336572296,-0.813550739,-0.98193266,1.338596099,0.054156737,1.656954086,-0.306111076,1.721727053,2.802065789,3.761876197,-0.87705108,-0.734807902,0.828535851,0.909483538,7.779862359,0.592037045,0,0.1,2.8532
H6PbCI3N,2.4371,1,0,-0.582951224,0.456932907,-0.376643878,-2.497303919,1.176735202,-0.813550739,-0.98193266,1.179091306,0.054156737,1.656954086,-0.015353508,1.735456271,3.397958235,4.016593185,-0.852252009,-0.734807902,0.821063773,0.909489215,5.068463947,0.48476998,0,0.1,2.4371
NiMoO4,2.178,1,0,-0.348755608,-0.664314866,0.622032716,-0.775218971,0.87407789,-0.233593748,0.411211128,0.876807555,-0.343963278,0.845684376,-0.171253007,0.389992945,0.344009447,-0.362604448,0.170923459,0.048545957,-0.257492135,1.174099309,-0.108827611,0.478424261,0,0.1,2.178
Li2Fe3SbO8,1.3365,1,0,-0.618369342,-0.617708636,0.610485169,-0.507650835,0.555503431,-0.099183115,0.529944974,0.561283296,-0.400837566,0.536629249,-0.436684385,-0.227821847,0.443324855,-0.362604448,-0.296553283,1.104370723,0.084930632,0.867817298,-0.210855773,0.082479265,0,0.1,1.3365
Sr(BeN)2,1.8808,1,0,-0.89393982,1.209353695,-0.395827707,0.063069947,0.474003009,1.185931883,1.519393687,0.477673698,-1.083329019,-0.019669981,0.648723268,-0.548170258,1.461307784,-0.362604448,-0.108422399,0.684311408,0.25096324,0.316619715,0.830214087,-3.3431632,0,0.1,1.8808
MgO2,3.8015,1,0,-1.087229188,-1.06954377,0.584782564,-0.51175674,0.917673508,-0.619402046,-0.756338354,0.920530291,-1.083329019,0.845684376,-0.604764851,1.179422958,0.021234372,-0.362604448,-0.741226282,0.729723226,0.946089028,1.174677051,-0.21200359,-1.149496825,0,0.1,3.8015
Ca(AuF6)2,1.6254,1,0,-0.495659548,-1.316802085,2.504282934,-2.337789514,2.769920049,-0.678144471,-0.558448611,2.769401566,-0.628334717,1.278361555,-2.329687388,-0.342231994,-0.475342667,-0.362604448,-0.476702857,1.694724356,1.452084773,1.605135868,-0.036387616,2.720884337,0,0.1,1.6254
TlS,0.4034,1,0,0.696363298,-0.719261158,-0.747096647,0.681008635,-0.67410137,-0.778703537,-1.037341788,-0.668427018,0.622899614,0.304837903,1.395718147,1.488330354,1.560623192,-0.362604448,-0.564212223,-0.598572448,0.682756101,-0.969867823,-0.325382385,0.282829665,0,0.1,0.4034
Cr2GaN,0,1,0,0.172206694,1.433946664,-0.383907658,0.077440614,-0.541685757,1.315862161,1.182981124,-0.536142836,0.622899614,-0.506431807,0.861202348,0.550167151,1.039217301,-0.362604448,0.370456215,-0.12174836,-1.432533877,-0.16727833,-0.050671559,-0.855153073,0,0.1,0
Ba2NiWO6,3.3607,1,0,-0.258597704,-0.805801568,0.622591469,-0.13524526,0.517809312,0.090485223,2.09327394,0.516003266,-0.673834147,0.629345787,-0.604577248,-0.571052288,0.368838299,-0.362604448,-0.126893432,1.206547314,0.098569714,0.961247955,-0.135610004,-0.066428967,0,0.1,3.3607
Cd(GaO2)2,1.5938,1,0,-0.426465852,-0.736922466,0.594281353,-0.474803595,0.520427828,-0.729632989,-0.716760405,0.524017247,0.379152667,0.536629249,-0.587794511,1.145099914,0.269522891,-0.362604448,-0.895151551,0.298310955,0.82739363,0.867978103,-0.358796609,-0.102243928,0,0.1,1.5938
CoAsS,0.4293,1,0,0.308326264,0.317850105,-0.715620268,0.015167723,-0.153449761,0.102432835,0.391422154,-0.149080767,0.850396765,-0.23600857,0.977606967,1.122217884,-0.77328889,-0.362604448,0.197717857,-0.893749265,-0.463697091,-0.971244113,-0.517960542,0.291567232,0,0.1,0.4293
Li3In2(PO4)3,3.7687,1,0,-0.944740805,-0.819194727,0.571186258,-0.626722077,0.684744875,-0.807452478,-1.009637224,0.688172801,-0.742083292,1.116107613,-0.222532313,0.081085549,1.386821228,0.685281895,-0.941329132,1.104370723,0.630637876,0.960277142,-0.078729303,0.16677622,0,0.1,3.7687
ReC2,0,1,0,1.149919182,1.828873138,-0.812098163,-0.483015405,0.216416112,1.384312021,2.429686503,0.213740524,-0.514586141,0.845684376,1.86932253,0.355669901,-0.748460038,-0.362604448,1.487839648,-0.950514037,-1.852203304,-0.972834205,1.376319826,-0.141991841,0,0.1,0
Na2CS3,1.2757,1,0,-0.77729382,-0.702090442,-0.691407669,0.302581066,-0.42281882,-0.789904424,-1.027447301,-0.417607387,-1.083329019,0.845684376,0.497462531,-0.319349965,0.468153706,1.116688641,-0.801941249,0.184781411,0.626286125,-0.969816436,1.727041633,0.618908725,0,0.1,1.2757
ZrP2,0,1,0,-0.296101577,1.361829656,-0.595861027,0.197196174,-0.187775233,-0.420275183,-0.439714765,-0.215002016,-0.855831868,0.845684376,1.598751629,0.218377725,-0.00359448,-0.362604448,-0.872347807,-0.712101993,-1.123775493,-0.970099871,-0.591165748,-0.460254074,0,0.1,0
Nb5Ga4,0,1,0,0.831756388,1.203859066,-0.798688108,0.724120636,-1.492402466,-0.042763837,-0.340769894,-1.517297415,1.191642492,-1.317701517,-0.105333311,0.012439461,-1.617469856,-0.362604448,0.61749677,-1.450044034,-1.661213634,-0.971459901,-0.60468448,-0.434545775,0,0.1,0
CsPbF3,3.67,1,0,-0.505023724,-1.172568068,2.477090322,-0.753183948,1.42821223,-0.789157698,-0.98193266,1.430154274,-0.400837566,0.629345787,-1.824435653,-0.044765612,-0.301540704,-0.362604448,-0.834949668,1.9331364,1.360354043,0.964632964,0.170729553,1.933029107,0,0.1,3.67
V2O5,1.899375,1,0,-0.758286303,-0.907648445,0.615327689,-0.856652751,0.929249615,-0.329601343,-0.162669126,0.93327458,-0.790832682,1.00021194,-0.310735031,0.424315989,0.468153706,-0.362604448,-0.215925762,0.366428682,-0.234069092,1.327452458,-0.214681829,0.280800429,0,0.1,1.899375
Cs2RbZrOF5,4.9184,1,0,-0.917800009,-1.232322161,2.520114248,-0.414036203,1.070809194,-0.707764592,-0.439714765,1.063650203,-1.015079873,0.629345787,-2.181275546,-0.941741163,0.567469114,-0.362604448,-0.988019797,1.9331364,1.148170701,0.965426905,0.08655632,1.479051462,0,0.1,4.9184
CaSnS3,0.9145,1,0,-0.419525178,-0.987124332,-0.732382837,0.55167263,-0.358131998,-0.641306001,-0.736549379,-0.353140077,-0.400837566,0.629345787,1.096901893,-0.13629373,0.095720927,-0.362604448,-0.662211311,0.105310729,0.498504474,-0.969455883,-0.2399338,0.254156776,0,0.1,0.9145
Be3N2,3.3284,1,0,-0.938045192,1.551394363,-0.395827707,-0.51175674,0.814243309,2.126059589,1.519393687,0.817427078,-1.083329019,-0.019669981,1.246190963,0.973484694,1.461307784,-0.362604448,0.336250599,-0.01957177,0.035555495,0.314982883,0.830214087,-3.554036337,0,0.1,3.3284
AgN,0,1,0,0.228413619,1.227898069,-0.409982765,-0.166860728,0.649374081,-0.270930035,-0.499081688,0.652556058,0.622899614,0.304837903,0.215195845,0.904838606,-0.276711852,-0.362604448,-0.142628015,-0.428278131,0.268387259,0.637831547,-0.305741964,-0.535182376,0,0.1,0
CaY2O4,3.1225,1,0,-0.827877917,-0.892930689,0.609926417,0.075387662,0.379083564,-0.514149276,-0.578237585,0.360484305,-0.98583024,0.536629249,-0.753432948,-1.715153755,-0.673973483,-0.362604448,-0.755885832,1.081664814,0.211833547,0.869170482,-0.347190905,-0.549930944,0,0.1,3.1225
Li6Br3N,2.17915,1,0,-0.896358086,-0.321587369,-0.821783203,-0.442777537,-0.675268241,-0.736886896,-1.009637224,-0.66913905,-0.059591839,-0.019669981,-1.561561835,-0.067647642,1.312334672,2.848764159,-0.875141266,0.650252544,1.120261387,-0.648041265,5.695554539,0.536902506,0,0.1,2.17915
Li2MnNb3O8,0.0484,1,0,-0.56073988,-0.623595739,0.617376447,-0.444009309,0.415826127,-0.29653206,0.450789077,0.407259454,-0.668959208,0.536629249,-0.619245609,-0.93144425,0.219865187,-0.362604448,-0.201266212,1.104370723,-0.319854294,0.867825909,-0.177696621,0.202769001,0,0.1,0.0484
Al4C3,1.3422,1,0,-0.542639918,1.326507039,-0.780621784,-0.006730436,-0.668183664,-0.27626379,-0.578237585,-0.662723779,-1.083329019,0.073046557,1.614502489,1.007807738,-0.723631187,-0.362604448,-0.013135328,-0.621278357,-0.159271501,-0.972404786,1.213074766,-0.260189581,0,0.1,1.3422
RbAgF3,0,1,0,-0.5725354,-1.065422798,2.495529148,-1.040597291,1.469830649,-0.606956617,-0.499081688,1.471625286,-0.400837566,0.629345787,-2.258362794,-0.433760111,-0.525000371,-0.362604448,-0.64716084,1.899077537,1.442434903,0.96331307,-0.027715222,1.983111477,0,0.1,0
Be5Au,0,1,0,0.090525439,1.533536818,-0.816381931,0.096601504,-0.171325585,3.444030518,1.519393687,-0.166266586,-0.514586141,-1.317701517,1.423916216,0.424315989,-0.673973483,-0.362604448,1.482138712,-0.587219494,0.165865065,-0.973044567,0.357568626,-3.789462525,0,0.1,0
Ga4SiO8,2.5426,1,0,-0.687788057,-0.804850575,0.626130233,-0.710735208,0.554509667,-0.830974339,-1.092750916,0.558045149,-0.033342168,0.679270077,-0.390396906,1.328156149,1.163361561,0.135867024,-0.866208338,0.162075502,0.585062428,1.009414322,0.410240664,0.148409305,0,0.1,2.5426
Li4VCr3O8,1.84225,1,0,-0.727729938,-0.488744292,0.621846466,-0.317752733,0.082104333,0.122967793,1.182981124,0.086970305,-0.699427576,0.304837903,-0.566623178,-1.000090338,0.468153706,-0.362604448,-0.26662337,1.104370723,-0.084863975,0.63780209,-0.018277617,0.069247394,0,0.1,1.84225
BaSe,1.7132,1,0,-0.076467728,-1.038636481,-0.776338017,1.629472668,-1.0267883,-0.670428305,-0.995784942,-1.020591555,0.622899614,0.304837903,-0.513759779,-0.776990552,0.617126818,-0.362604448,-0.844698268,0.196134365,0.800252765,-0.966716275,-0.441822026,-0.357551047,0,0.1,1.7132
Rb3Ca,0,1,0,-0.817573342,-0.477154059,-0.693828929,3.432991397,-2.350215131,-0.761902208,-0.946312507,-2.341494091,-1.083329019,-1.317701517,-1.83008089,-3.763095382,-0.152567592,-0.362604448,-0.8930137,-1.484102898,1.458712463,-0.960802188,-0.132676694,-1.460424871,0,0.1,0
TiPtPb,0,1,0,2.221251081,1.183254206,-0.784160549,1.088177538,-0.900701344,0.545490107,0.114376514,-0.90236145,1.305391068,-1.317701517,0.762265401,0.138290622,-0.227054148,-0.362604448,1.202792853,-0.791572674,-1.003186546,-0.97104471,-0.639118984,0.232405602,0,0.1,0
IrN,0,1,0,1.930305697,1.712112268,-0.386701419,-0.281826065,1.011590462,3.089335792,3.062933679,0.978179777,0.111031024,0.304837903,1.522127849,0.733223385,1.014388449,-0.362604448,1.738680826,-0.734807902,-1.23147272,0.637577912,-0.273858164,-0.357258168,0,0.1,0
Sr(GaTe2)2,0.499,1,0,0.336325199,-0.854664521,-0.814891925,0.999216265,-0.936077927,-0.457078094,-0.776127328,-0.929772201,1.841634352,-1.317701517,0.569065455,-0.204939818,-0.078081036,-0.362604448,-0.362521256,-0.382866313,0.63791301,-0.969000202,-0.651872505,-0.043249658,0,0.1,0.499
NbSi2,0,1,0,-0.00723583,1.31375165,-0.813029417,0.206776619,-0.911559733,-0.358048038,-0.340769894,-0.924422608,-0.628334717,-1.317701517,1.655959347,0.149731637,-0.723631187,-0.362604448,1.111577879,-1.347867444,-1.498523316,-0.971351068,-0.199122535,0.368594503,0,0.1,0
ZrC,0.27345,1,0,-0.014144919,1.403039375,-0.813029417,0.106181948,-0.291173018,-0.214925604,-0.439714765,-0.334560567,-0.742083292,0.304837903,0.817852117,0.012439461,0.021234372,-0.362604448,-0.715572071,-0.303395632,-1.518715651,-0.971922868,1.361015601,-0.142724039,0,0.1,0.27345
LaCdAg2,0,1,0,1.271368758,0.774591159,-0.774103008,1.270205989,-1.050855025,0.037094333,-0.499081688,-1.044581308,1.561325363,-1.317701517,0.11733689,-0.754108522,-1.145721669,-0.362604448,0.156671119,-0.746160856,0.6194644,-0.970662969,-0.562597863,-0.300878892,0,0.1,0
Zn(FeO2)2,1.66435,1,0,-0.328570297,-0.44256733,0.608995163,-0.618510267,0.798046021,0.273113004,0.529944974,0.805411532,-0.010842449,0.536629249,-0.254964328,0.687459327,0.443324855,-0.362604448,0.003967479,0.343722773,-0.030959893,0.867432435,-0.241464222,-0.123163882,0,0.1,1.66435
In3(PO4)2,3.0693,1,0,-0.695814315,-0.79375565,0.571186258,-0.659885155,0.777673854,-0.830974339,-1.092750916,0.780776227,-0.29583888,1.178512975,0.315546179,1.465448325,1.386821228,0.685281895,-0.968825184,0.196134365,0.563600926,1.009897138,-0.078729303,0.126781291,0,0.1,3.0693
SiPt,0,1,0,2.051390877,1.506063672,-0.810235656,0.307371289,-0.509961436,0.307782413,0.114376514,-0.518051836,0.452276751,-1.317701517,1.92435394,0.698900341,-0.748460038,0.135867024,1.824194865,-1.257043808,-0.834611697,-0.97163815,-0.038428179,1.077118478,0,0.1,0
YGa3,0,1,0,0.313120326,0.774591159,-0.806138139,0.903753976,-1.677319196,-0.588288474,-0.578237585,-1.689368787,1.561325363,-1.317701517,-0.436701717,-1.18886708,-0.673973483,-0.362604448,-0.822464619,-1.018631764,0.034013763,-0.97072437,-0.723292218,-1.085795565,0,0.1,0
AlAg2,0,1,0,0.975076914,0.949732465,-0.813960671,0.839085974,-1.231152889,0.239332554,-0.499081688,-1.224728752,1.191642492,-1.317701517,0.27414029,0.595931209,-0.152567592,-0.362604448,0.575689906,-1.325161535,0.463677861,-0.971772143,-0.640394336,0.042522153,0,0.1,0
AlAu,0,1,0,1.85116828,1.17638592,-0.805206885,0.810344639,-0.96868782,0.158437265,-0.558448611,-0.962704663,0.622899614,-1.317701517,1.020116701,0.630254253,-0.89743315,-0.362604448,1.533447135,-0.632631312,0.252733827,-0.971797185,-0.631721943,0.556086104,0,0.1,0
LaCrO3,1.09775,1,0,-0.501290052,-0.673930467,0.621846466,-0.345057,0.454263432,0.132301865,1.182981124,0.457923546,-0.673834147,0.629345787,0.135969349,-0.731226493,0.269522891,-0.362604448,-0.354702829,0.96813527,-0.247656712,0.960251619,-0.018277617,0.169338914,0,0.1,1.09775
La2(BiO2)7,0,1,0,-0.260524085,-0.934268388,0.621287713,-0.266830586,0.619980333,-0.649162855,-0.815705276,0.622754642,-0.015081527,0.657563864,0.195923313,0.115408593,-0.748460038,-0.362604448,-0.794765506,0.96813527,0.425671972,0.988986666,-0.295029007,0.407347959,0,0.1,0
Rb,0,1,0,-0.818842359,-0.63684172,-0.821783203,3.741960741,-2.577268889,-0.830974339,-1.092750916,-2.568134324,-1.083329019,-1.317701517,-2.158091936,-3.866064514,-1.66712756,-0.362604448,-0.955011378,-1.688456078,1.590163495,-0.958648751,-0.78705982,-0.717646215,0,0.1,0
Al2O3,5.220575,1,0,-0.946066222,-0.727503102,0.587948827,-0.546246341,0.419549003,-0.442676955,-0.578237585,0.42309701,-1.083329019,0.629345787,0.115024802,1.351038178,0.468153706,-0.362604448,-0.477843044,0.389134591,0.514945813,0.959681986,-0.12668254,0.099047869,0,0.1,5.220575
CrCo2As,0,1,0,0.911179585,1.562727036,-0.802226873,0.285815288,-0.749413205,1.642554672,1.182981124,-0.740922364,1.390702499,-1.317701517,0.925949633,0.22981874,-1.493325597,-0.362604448,1.319662039,-1.098102445,-1.655143631,-0.972285651,-0.600858424,-0.375563127,0,0.1,0
Ag3Pt,0,1,0,2.454656109,1.14547863,-0.802971876,0.83190064,-0.813591141,0.578470494,0.114376514,-0.814630731,2.243816816,-1.317701517,0.124308078,0.252700769,-0.376027259,-0.362604448,1.268353616,-1.291102671,0.196113598,-0.971818655,-0.722016866,0.727859846,0,0.1,0
V2Pb3O8,3.00305,1,0,-0.247558653,-0.806435564,0.615327689,-0.392369659,0.683501334,-0.512754293,-0.162669126,0.68747814,-0.138340853,0.679270077,0.045285182,0.756105415,0.468153706,-0.362604448,-0.395223328,0.366428682,0.090176584,1.009684348,-0.190450141,0.351622519,0,0.1,3.00305
Mo,0,1,0,1.648125646,1.773926846,-0.821783203,0.724120636,-1.206680999,-0.0842486,-0.696971431,-1.203023158,0.622899614,-1.317701517,1.840025313,-0.708344464,-1.66712756,-0.362604448,2.935877361,-1.688456078,-3.793674239,-0.972017254,-0.78705982,0.001519043,0,0.1,0
Li2TlPt,0,1,0,1.146864143,0.630357142,-0.752497919,1.148055318,-1.498763537,-0.157054359,0.114376514,-1.497941847,0.537588183,-1.317701517,-0.354619405,-0.937164757,0.716442226,-0.362604448,0.263563667,-0.212571996,0.492422488,-0.970930396,-0.600858424,-0.105015822,0,0.1,0
NaGe2(PO4)3,3.8315,1,0,-0.982966169,-0.898981322,0.62035646,-0.904554975,1.087545158,-0.824129353,-1.027447301,1.090158961,-0.7041671,1.38653085,-0.195148949,0.166893159,1.386821228,0.685281895,-0.960427267,1.161135496,0.498887126,1.17496655,-0.001953111,0.386329975,0,0.1,3.8315
Cu2GeS3,0.3743,1,0,0.114166745,-0.393017549,-0.702023962,-0.037524723,-0.281092545,-0.233593748,-0.142880151,-0.276058073,0.622899614,0.304837903,0.640223554,1.145099914,-0.574658075,0.810383403,-0.133791564,-0.916455174,0.246507347,-0.971011665,-0.565148567,0.933509967,0,0.1,0.3743
RbCrF6,1.5141,1,0,-0.944821289,-1.273016758,2.521604255,-1.927267455,2.234739268,-0.294265214,1.182981124,2.235213785,-0.87005044,1.116107613,-2.285628911,-0.799872581,0.790928782,-0.362604448,-0.650367617,1.899077537,1.063245895,1.445332535,0.227355184,2.401097911,0,0.1,1.5141
PtRh3,0,1,0,2.869201487,1.763624417,-0.820665699,0.573228631,-0.853702351,3.938736321,1.875595224,-0.855836194,1.731948226,-1.317701517,1.287820632,0.046762505,-1.567812152,-0.362604448,4.859943222,-1.688456078,-1.515585818,-0.972254094,-0.674828841,0.665256883,0,0.1,0
CdBiO3,0.7926,1,0,-0.211164688,-0.884100034,0.606015151,-0.333560467,0.82387,-0.59948936,-0.716760405,0.826527189,0.281653888,0.629345787,-0.177526734,1.419684266,-0.549829223,-0.362604448,-0.748067405,0.298310955,0.805229169,0.960509488,-0.295029007,0.15762374,0,0.1,0.7926
CsY,0,1,0,-0.355369346,-0.059905653,-0.656578776,3.095280718,-2.125835453,-0.345602609,-0.578237585,-2.15678231,-0.912706155,-1.317701517,-1.332810867,-3.557157118,0.120549779,-0.362604448,-0.633478594,-1.200279036,0.155163204,-0.961665299,-0.062659868,-1.071224817,0,0.1,0
Ge3P,0,1,0,0.003480309,1.093966481,-0.595861027,-0.080636725,-0.527950706,-0.830974339,-1.092750916,-0.522263809,1.476013931,-0.506431807,0.513732368,1.419684266,-0.77328889,0.438303144,-0.950735676,-1.484102898,-0.271376635,-0.970535805,-0.710283628,0.176148359,0,0.1,0
PH5(NO2)2,0,1,0,-1.207827219,0.264620885,0.18397092,-2.068579016,1.796838301,-0.830974339,-1.092750916,1.79812097,-1.083329019,1.927377323,-0.211921232,1.762914706,2.156515638,4.701427213,-0.982090823,-0.269336768,0.601898922,1.981133371,-0.078729303,-0.200933811,0,0.1,0
TiMn5O12,1.4181,1,0,-0.594835134,-0.777641593,0.614955187,-0.764041785,0.868729729,0.069245024,0.450789077,0.871644499,-0.571460429,0.845684376,-0.180284875,0.023880476,0.294351743,-0.362604448,-0.323157651,0.468605273,-0.353042816,1.174093275,-0.236362814,-0.010521552,0,0.1,1.4181
HgPd3,0,1,0,2.246184904,1.346376011,-0.752497919,0.882197975,-0.377229796,0.401123131,-0.222036048,-0.374385842,2.329128248,-1.317701517,0.001588807,0.424315989,-0.723631187,-0.362604448,1.418003183,-1.461396989,0.012580116,-0.971726827,-0.531606808,-0.745323314,0,0.1,0
ScF3,6.1075,1,0,-1.040068025,-1.218929002,2.512105466,-2.106900795,2.360056412,-0.560286259,-0.518870662,2.36277536,-0.998017587,1.116107613,-2.236759775,-0.571052288,-0.227054148,-0.362604448,-0.754053388,1.286017995,0.935417521,1.444147254,-0.049396207,2.264378166,0,0.1,6.1075
LiBiB2O5,3.3122,1,0,-0.773278557,-0.581895428,0.622218967,-0.684204746,0.538170141,-0.763769023,-0.855283225,0.541580349,-0.7041671,0.485120061,0.116558351,0.081085549,1.237848117,0.620151728,0.29824436,1.104370723,0.41997517,0.816708194,1.545686575,0.107769165,0,0.1,3.3122
Ca2AgGe,0,1,0,0.082511835,0.47066948,-0.790865576,1.471395329,-1.287997361,-0.412807925,-0.499081688,-1.281191674,0.622899614,-1.317701517,-0.537052152,-0.685462434,-0.12773874,-0.362604448,-0.424824341,-0.541807676,0.63625448,-0.969261434,-0.441822026,-1.647025631,0,0.1,0
Li2ZrTeO6,2.8763,1,0,-0.860872917,-1.178749526,0.62035646,-0.43702927,0.545376653,-0.616664052,-0.439714765,0.539405825,-0.673834147,0.629345787,-0.74652434,-0.330790979,-0.078081036,-0.063392594,-0.84897397,1.104370723,0.491430639,0.960270051,-0.210855773,0.36227319,0,0.1,2.8763
FePbO3,0,1,0,-0.166946515,-0.669809495,0.608995163,-0.448525804,0.730325796,-0.176842592,0.529944974,0.736594647,0.008657306,0.629345787,0.042684448,0.962043679,0.443324855,-0.362604448,-0.258927107,0.139369593,0.017326931,0.9599915,-0.190450141,0.227914785,0,0.1,0
Sc,0,1,0,-0.409091043,0.743683869,-0.821783203,1.385171326,-1.468740904,0.251777983,-0.518870662,-1.451639638,-0.742083292,-1.317701517,-0.117929749,-3.385541898,-1.66712756,-0.362604448,-0.022908361,-1.688456078,-1.247770515,-0.970369427,-0.78705982,-1.139246048,0,0.1,0
VS2Br2N3,0.77,1,0,-0.677214728,-0.175807988,-0.821783203,-1.273402099,1.015638048,-0.611623653,-0.162669126,1.018662368,-0.102247555,1.521742468,0.420725118,1.19658448,2.479290713,2.848764159,-0.614665506,-0.087689497,0.13187351,0.236907506,5.971030578,0.570876511,0,0.1,0.77
Sr2CoWO6,1.7013,1,0,-0.308455951,-0.793438652,0.622591469,-0.201350329,0.57347881,0.095712303,2.09327394,0.572549163,-0.707958719,0.629345787,-0.545327689,-0.639698376,0.319180595,-0.362604448,-0.159730822,1.138429587,0.041388787,0.960914562,-0.135610004,-0.466209288,0,0.1,1.7013
LaTl,0,1,0,1.286596955,0.496425555,-0.775779265,1.888144677,-1.795951138,-0.517349529,-0.815705276,-1.788289878,0.793522478,-1.317701517,1.397909133,-1.085897948,-0.599486927,-0.362604448,-0.390618725,-1.098102445,0.194418378,-0.968969765,-0.686307009,-0.818543153,0,0.1,0
Zn2P2HNO8,0,1,0,-0.889529136,-0.535289198,0.18397092,-1.078371616,1.388601108,-0.601622862,-0.241825023,1.390610053,-0.595835124,1.463794632,-0.127163576,1.529518007,2.156515638,4.701427213,-0.79986448,0.343722773,0.653130422,1.328165676,-0.078729303,-0.004756943,0,0.1,0
LaH2,0,1,0,-0.673123567,0.99781047,-0.812098163,-1.479381662,0.588032291,-0.656738333,-0.815705276,0.591415871,-0.969580443,0.845684376,0.016031551,-0.536729243,-0.723631187,-0.362604448,-0.838142192,-0.439631086,0.467791939,1.178490722,-0.56693406,-0.449515165,0,0.1,0
LaZn5,0,1,0,0.715915552,0.798630161,-0.775220512,0.978002423,-0.428199394,0.59402728,-0.241825023,-0.423116199,1.817259658,-1.317701517,-0.068066011,-1.326159256,-0.624315779,-0.362604448,0.079708485,-1.064043582,1.153528614,-0.971423587,-0.567699271,-1.2822688,0,0.1,0
Ga,0,1,0,0.414077636,0.826103307,-0.821783203,0.580413965,-1.722535469,-0.830974339,-1.092750916,-1.714888688,2.329128248,-1.317701517,-0.352753688,0.93916165,-1.66712756,-0.362604448,-0.997768397,-1.688456078,0.49181546,-0.971305048,-0.78705982,-0.979626799,0,0.1,0
BaVS3,0,1,0,-0.376660622,-0.863495175,-0.707052733,0.557420897,-0.499615175,-0.443423681,-0.162669126,-0.493544752,-0.878581583,0.629345787,0.732808786,-0.868518669,1.138532709,-0.362604448,-0.33862619,0.230193229,-0.05061116,-0.969147052,-0.102195781,0.350806963,0,0.1,0
CdTe,0.4982,1,0,0.848645274,-0.595632001,-0.799433111,0.997163312,-0.314267351,-0.177589317,-0.716760405,-0.308989041,2.329128248,-1.317701517,0.582083789,1.351038178,-1.617469856,-0.362604448,-0.082768188,-1.222984945,1.140632976,-0.96989128,-0.750074611,-0.012026627,0,0.1,0.4982
Al2Au,0,1,0,1.070958158,1.114571341,-0.805206885,0.800764195,-1.221915155,0.152214551,-0.558448611,-1.21554498,0.054156737,-1.317701517,1.157293212,0.630254253,-0.89743315,-0.362604448,1.122979751,-0.632631312,0.210453464,-0.97180737,-0.631721943,0.122282964,0,0.1,0
ScHg,0,1,0,1.078337254,0.71277658,-0.749145405,1.241464654,-0.554691513,-0.289598178,-0.518870662,-0.544154833,0.793522478,-1.317701517,-0.394805771,-1.326159256,-0.996748558,-0.362604448,-0.296553283,-0.961866992,0.389647247,-0.970403877,-0.472940615,-1.271773956,0,0.1,0
ScC,0,1,0,-0.511317369,1.258805358,-0.805020634,0.163664617,-0.361671509,-0.289598178,-0.518870662,-0.351513819,-0.912706155,0.304837903,0.870190541,-1.120220992,-0.202225296,-0.362604448,-0.228142053,-0.337454495,-0.8936305,-0.971771803,1.381421234,-0.376295326,0,0.1,0
LiScI3,0,1,0,-0.216482544,-0.945914613,-0.678370115,-1.465969039,-0.475733204,-0.583061394,-0.518870662,-0.468342681,1.032394486,0.629345787,-0.501577136,-1.669389696,1.933055971,-0.362604448,-0.686155242,0.218840274,0.894214639,-0.968654317,2.984156128,1.418469367,0,0.1,0
ScCu,0,1,0,0.427754814,0.949732465,-0.809676903,0.867827308,-1.190636515,0.606472709,-0.142880151,-1.17890557,0.793522478,-1.317701517,-0.135019844,-1.566420564,-1.617469856,-0.362604448,0.686858156,-1.075396536,-0.5589508,-0.971511431,-0.649321801,-0.405583261,0,0.1,0
Sr2MgWO6,3.3507,1,0,-0.510426971,-0.912946838,0.622591469,-0.100755659,0.563609021,-0.120838161,2.09327394,0.561555655,-0.946830728,0.629345787,-0.641417796,-0.468083155,0.319180595,-0.362604448,-0.390618725,1.138429587,0.339140579,0.961126448,-0.135610004,-0.905528322,0,0.1,3.3507
NaSn5,0,1,0,0.512496913,0.537635274,-0.730520329,1.303737545,-1.263890119,-0.250395077,-0.736549379,-1.257333501,1.76038537,-1.317701517,1.430363217,-1.326159256,-0.89743315,-0.362604448,-0.153174746,-0.519101767,0.232290408,-0.96966997,-0.628916168,0.200921071,0,0.1,0
KCa10(PO4)7,5.2354,1,0,-1.072124484,-0.919038709,0.589438833,-0.305568906,0.767963745,-0.769856461,-0.946312507,0.771115762,-1.083329019,1.151380209,-0.314708933,-1.051574904,1.659938599,0.685281895,-0.904781175,1.286017995,0.669226304,0.989196992,-0.050416488,-0.468023867,0,0.1,5.2354
LiHg,0,1,0,0.732882772,0.414006117,-0.81619568,1.097757983,-0.824530562,-0.752568137,-1.009637224,-0.818031683,0.622899614,-1.317701517,-1.382998495,-1.669389696,-1.02157741,-0.362604448,-0.689917859,-0.530454721,1.562522617,-0.970704144,-0.388767381,-0.966447228,0,0.1,0
