Density_composition_average,n_ws^third_composition_average,ThermalExpansionCoefficient_difference,MiracleRadius_composition_average,IonizationEnergy_composition_average,ShearModulus_composition_average,ShearModulus_max_value,FirstIonizationEnergy_composition_average,NdValence_composition_average,IsNonmetal_composition_average,BCCfermi_composition_average,MendeleevNumber_arithmetic_average,IonicRadii_difference,GSbandgap_difference,BulkModulus_composition_average,Electronegativity_difference,BCCenergy_pa_composition_average,AtomicVolume_composition_average,HeatCapacityMolar_difference,ElectronAffinity_composition_average,HF,LF
-0.334360073,-1.316802085,-0.783415546,-1.13448565,-0.026844196,-0.769991737,-0.995784942,-0.022706888,1.191642492,0.845684376,-1.325135498,-0.571052288,-0.326369556,-0.362604448,-0.921375856,0.661605499,1.402249046,-0.966037059,5.286166538,1.51082399,5.454971,4.3734
1.227940194,-0.688353869,-0.803158127,1.241464654,-0.684262876,-0.42774244,-0.776127328,-0.678254332,2.329128248,-1.317701517,1.603168759,1.728591662,-1.120892818,-0.063392594,-0.048562573,-1.427338125,0.366505732,-0.969132098,-0.655698561,0.793391602,1.12646399,1.0582
-0.619855125,-0.908139037,0.615327689,-0.660253634,0.70123504,-0.538506758,-0.162669126,0.70513822,-0.343963278,0.845684376,-0.083886062,0.618813239,0.468153706,-0.362604448,-0.541693526,0.366428682,0.168465077,1.174488816,-0.214681829,0.166019615,4.209224,2.9806
-0.140550972,-0.851132259,0.61570019,-0.155364194,0.315308477,-0.42774244,-0.558448611,0.318224628,-0.946830728,0.629345787,-0.782628944,0.252700769,-0.624315779,-0.362604448,-0.66939449,0.775135044,0.354866714,0.960578275,-0.465926179,0.128335804,5.047105,4.0883
-0.788945008,-1.129297863,2.515457979,-0.827911417,1.312691945,-0.266076317,1.875595224,1.314623482,-0.810332437,0.629345787,-2.295357485,-1.411966866,0.666784522,-0.362604448,-0.334008432,1.899077537,1.302637202,0.964273544,0.019472803,1.861507968,4.311933,2.2045
0.273827817,-1.360301233,-0.766094225,-1.725279744,0.264387498,-0.741367251,-0.776127328,0.268184686,2.329128248,0.845684376,-0.369885305,1.831560794,0.790928782,0.277734714,-0.689157734,-0.167160178,1.307269908,-0.96803329,5.584598913,2.171673715,2.618031,2.2372
-0.831889258,-0.904704894,0.617376447,-0.951088564,1.190198214,-0.628291639,-0.340769894,1.184338039,-0.888331461,1.463794632,-0.173082909,0.824751503,1.386821228,0.685281895,-0.555538656,0.400487546,0.007320416,1.327911125,-0.078729303,0.422428518,4.657134,3.1977
-1.050165871,-0.79481231,0.626130233,-0.099797614,0.098189333,-0.789904424,-1.027447301,0.102587346,-1.083329019,0.304837903,-0.503521367,-0.319349965,1.163361561,0.135867024,-0.676805707,1.161135496,0.77143447,0.639182165,0.410240664,0.212148113,5.44708,3.8634
-0.474809337,-0.59268845,0.608995163,-0.27772016,0.517788475,0.069896928,0.529944974,0.52562551,-0.498336345,0.536629249,-0.409710864,-0.685462434,0.492982558,-0.362604448,-0.143605318,1.206547314,-0.090598379,0.868664451,-0.241464222,-0.231947643,2.733139,0.0
-0.563454393,-1.021465765,0.589997585,-0.559658963,0.870512449,-0.606956617,-0.736549379,0.873343232,0.054156737,0.845684376,0.169349983,1.591299486,0.046063224,-0.362604448,-0.667114116,-0.008218815,0.513738192,1.17489336,-0.482505755,0.563847407,1.687905,0.865216667
-1.041694259,-0.801680596,0.584782564,0.720014732,-0.192336219,-0.635758896,-0.756338354,-0.187511309,-1.083329019,0.073046557,-1.04538366,-0.525288229,0.294351743,-0.362604448,-0.762726955,1.286017995,1.133705465,0.411084161,-0.183690775,-1.278740301,4.422955,2.888
-0.594835134,-0.777641593,0.614955187,-0.764041785,0.868729729,0.069245024,0.450789077,0.871644499,-0.571460429,0.845684376,-0.180284875,0.023880476,0.294351743,-0.362604448,-0.323157651,0.468605273,-0.353042816,1.174093275,-0.236362814,-0.010521552,2.816253,1.4181
-0.278728366,-0.914070739,0.617376447,-0.456886919,0.75459142,-0.579802954,-0.340769894,0.751949396,-0.0285695,0.747348654,0.002694217,0.893397591,0.219865187,-0.362604448,-0.588855814,0.400487546,0.183052041,1.077658132,-0.177696621,0.477714251,2.8014545,1.7145
-1.122103319,-0.250500604,-0.821783203,-2.538020809,2.37427766,-0.830974339,-1.092750916,2.374580475,-1.083329019,1.927377323,-1.017740689,1.991735,1.734425155,3.65354087,-0.950735676,0.343722773,0.960090904,1.44499852,0.166903497,1.52632219,6.239307,3.8275
-0.817778318,-0.954745267,2.499999166,-1.283666861,1.501711247,-0.574954086,-0.142880151,1.503574395,-0.595835124,1.463794632,-0.519515275,1.471168832,1.386821228,-0.362604448,-0.628836403,0.672958453,0.636225867,1.327991319,0.166903497,0.860073955,0.1219965,0.0
-0.609061115,-0.49947599,0.608995163,-0.458106249,0.360038553,-0.000615317,0.529944974,0.367864792,-0.514586141,0.413007198,-0.61732833,-0.691182942,0.443324855,-0.362604448,-0.173413068,1.104370723,0.040254306,0.745009706,-0.204479013,0.011476941,1.264842,0.0
-1.090868399,-0.684919726,0.626130233,-0.368050068,0.137409183,-0.778703537,-1.009637224,0.142021314,-1.083329019,0.304837903,-0.673193555,-0.342231994,1.163361561,0.135867024,-0.650011308,1.104370723,0.660489587,0.638148463,0.410240664,0.246805504,6.896147,5.1122
0.085472873,-0.533817422,-0.747655399,0.282222621,0.073243402,-0.14025303,-0.241825023,0.077485697,0.622899614,0.304837903,0.533021678,1.053571796,-0.028423332,-0.362604448,-0.393184147,-0.632631312,1.009570309,-0.970893908,-0.363642946,0.063170148,2.67633,1.6798
0.170673228,-0.366402938,-0.720090286,-0.019561389,-0.172103499,-0.158921174,-0.142880151,-0.168857219,0.622899614,0.304837903,0.76268757,1.25951006,-0.574658075,-0.362604448,0.013007535,-0.916455174,0.265246606,-0.971110173,-0.539641526,0.853761359,0.711805,0.0392
-0.432593961,-0.989184818,0.619425206,0.025706212,0.395822614,-0.117477895,2.429686503,0.39747641,-0.912706155,0.629345787,-0.717479389,-1.53209752,0.542640262,-0.362604448,-0.321352355,1.206547314,0.373186282,0.961721911,-0.289927599,-0.219165551,3.197723,1.9174
-0.076710674,-1.033485266,2.518996744,-1.309328767,1.625656622,-0.186923389,0.272688308,1.587643454,-0.827394724,1.116107613,-1.031465352,1.076453826,0.219865187,-0.362604448,-0.142628015,1.127076632,-0.282368404,1.443030092,-0.028990574,1.049294939,3.527391,2.1336
-0.904813122,-0.743612356,0.622218967,-0.117216605,0.360772268,-0.772593963,-0.946312507,0.364535861,-1.083329019,0.452341487,-0.284421108,-1.137382514,1.28750582,0.620151728,0.053587833,1.206547314,0.605538549,0.785736545,1.545686575,-0.551490431,5.708571,4.0805
-0.351775169,-0.89587424,0.61570019,0.087705376,0.223292319,-0.510415647,-0.558448611,0.226616929,-0.98583024,0.536629249,-0.868031999,-1.028692875,-0.624315779,-0.362604448,-0.763215606,1.138429587,0.535544275,0.86930436,-0.456998715,-0.365835349,4.19346,3.3391
-0.342757516,1.430512521,-0.590087253,-0.134925912,-0.267079281,-0.113287934,2.330741632,-0.262236681,-0.817915676,0.124555745,2.409552603,0.824751503,-0.549829223,0.685281895,0.264038745,-1.347867444,-0.725004415,-0.970727467,-0.267991544,0.110860669,2.286706,1.4917
-1.009194828,0.49127434,-0.670920085,0.738491304,-1.410761973,-0.713365035,-1.009637224,-1.402954117,-1.083329019,-0.506431807,-0.943378713,-1.257513168,-0.202225296,-0.362604448,-0.809637513,-0.314748586,0.714311962,-0.970680978,-0.65493335,-0.485026787,1.371439,0.9164
-0.664170026,-1.873133292,-0.821783203,-2.657776369,1.287506967,-0.830974339,-1.092750916,1.28941005,1.191642492,1.927377323,-1.095292393,2.106145146,-0.276711852,0.576946568,-0.976104841,-1.143514263,1.304888937,0.104229419,5.119350493,2.453407384,2.716373,1.4541
-1.115312514,-0.446643016,-0.821783203,-2.112427974,1.680914723,-0.785021986,-0.776127328,1.682412607,-0.820832306,1.677755874,-0.555379231,2.014617029,-0.251883,4.701427213,-0.912254359,-0.167160178,0.840066389,2.002025143,-0.3218114,0.255591885,3.916711,2.1169
-0.403418187,-0.963943865,-0.821783203,-0.544090741,0.647003873,-0.597622546,-0.578237585,0.640077589,-0.187558986,0.710472758,-0.173435072,0.647415775,0.294351743,1.245014415,-0.775218112,0.831899816,0.41709101,1.035385076,0.287934405,0.670016173,1.669003,1.4316
0.021718533,-0.698656299,0.608995163,-0.306461494,0.649825549,-0.46827898,-0.222036048,0.652151015,0.379152667,0.536629249,0.098930926,1.236628031,0.219865187,-0.362604448,-0.406499904,-0.076336542,0.346145005,0.868593677,-0.295029007,0.36217905,0.543294,0.0
-0.11518683,1.188748835,-0.625661149,0.574665698,-0.600393982,0.389175519,0.450789077,-0.594997733,-0.400837566,-0.019669981,1.371828927,-0.891400698,0.393667151,-0.362604448,-0.04343173,-0.337454495,-1.048815691,-0.970412951,-0.468731953,-1.441204664,0.210934,0.0
-0.514808762,-0.743300161,0.606760154,-0.796774972,0.90122386,0.13043505,0.450789077,0.904848747,-0.457711853,0.845684376,-0.116686171,0.367110916,0.195036335,-0.362604448,-0.228142053,0.457252318,-0.303828491,1.174023484,-0.204479013,0.058630518,1.171638,0.67045
0.682263115,-0.214442099,-0.816381931,0.637896633,-0.679644009,0.923831148,0.450789077,-0.674182835,1.476013931,-1.317701517,1.432747976,0.733223385,-0.922262002,-0.362604448,0.58424131,-1.064043582,-1.073563249,-0.970702966,-0.71181405,-0.012026627,0.1095059,0.0
0.224853181,0.510162128,-0.672782592,1.816291341,-1.369718887,0.388677702,0.450789077,-1.368123156,0.622899614,-1.317701517,0.303051341,-0.914282728,0.666784522,-0.362604448,-0.059964444,-0.292042677,-0.377349329,-0.966902403,-0.043529587,-0.682403066,0.689808,0.0
-0.184579282,-1.083280343,2.477090322,-1.603927444,2.071579831,-0.761279937,-0.98193266,2.072426626,0.054156737,0.845684376,-1.400688629,1.831560794,-1.319523633,-0.362604448,-0.735525346,0.184781411,1.162968538,1.176175644,0.05518266,2.334791245,5.57314154,4.4198
0.451772125,-0.073642226,-0.796453099,0.963631756,-0.721132776,-0.45761147,-0.776127328,-0.719499207,1.305391068,-1.317701517,1.262493742,0.138290622,-0.227054148,-0.063392594,-0.34216077,-0.462336995,-0.03649575,-0.969319025,-0.472047869,0.143809597,0.527387,0.131
-0.499835731,-0.775924522,0.592605096,0.257073954,0.370418848,-0.383872303,-0.241825023,0.374095556,-0.230214702,0.304837903,-0.836681039,-0.365114023,0.021234372,-0.362604448,-0.657422525,1.206547314,1.024722044,0.639799391,-0.278449431,-0.561541518,3.612828,2.2892
-0.583257317,-1.074122628,0.606015151,-0.498982813,0.880506488,-0.66088681,-0.756338354,0.882993233,-0.325005182,0.845684376,-0.14975449,1.373920207,0.021234372,-0.362604448,-0.794435017,0.729723226,0.657799663,1.175149247,-0.21200359,-0.043063703,0.450127,0.0388
-1.032570844,-0.891311735,0.587948827,-0.270329531,0.608800985,-0.733899993,-0.578237585,0.612199076,-1.083329019,1.116107613,-0.261768247,0.098247071,1.908227119,0.685281895,-0.833153873,1.286017995,0.650198591,0.961960891,0.135784908,0.161848525,5.95347488,4.4173
-0.682001453,-0.628011066,0.615327689,-0.50354493,0.42464712,-0.141853157,0.450789077,0.42899495,-0.693333903,0.536629249,-0.426115226,-0.948605772,0.468153706,-0.362604448,-0.286780251,1.104370723,-0.182473697,0.867651321,-0.210855773,0.006121433,2.0488705,1.182233333
-0.727729938,-0.488744292,0.621846466,-0.317752733,0.082104333,0.122967793,1.182981124,0.086970305,-0.699427576,0.304837903,-0.566623178,-1.000090338,0.468153706,-0.362604448,-0.26662337,1.104370723,-0.084863975,0.63780209,-0.018277617,0.069247394,2.7375025,1.84225
-0.461120718,-0.712392872,-0.594371021,-0.186021617,0.052097906,-0.115362172,1.182981124,0.056484146,-0.79895758,1.38653085,1.628354266,0.893397591,-0.549829223,0.00947581,-0.422543966,-0.643984266,-0.26427784,-0.970400697,-0.643710252,0.883525223,2.07943,0.0
-1.152964211,-0.470629186,-0.821783203,-1.513871263,1.418423474,-0.812555104,-0.946312507,1.420411621,-1.083329019,1.711038734,-0.313750081,0.475800555,1.734425155,4.701427213,-0.953301097,1.081664814,0.679236054,1.605286253,-0.078729303,-0.03030718,7.47008647,5.2845
0.379532188,-0.461700414,-0.797384353,0.379224625,-0.570979095,-0.532284044,-0.776127328,-0.565217043,2.329128248,-1.317701517,0.68541504,1.659945574,-0.574658075,-0.310371344,-0.441927148,-1.586279488,0.177064173,-0.969797615,-0.467201531,0.866611441,0.586418,0.6198
-1.030120251,-1.261855793,2.520114248,-1.437866401,1.776188456,-0.820188301,-1.06702525,1.777469675,-0.7041671,0.845684376,-2.473504273,-0.13629373,0.76609993,0.660777476,-0.985986463,1.899077537,1.421814286,1.177780272,0.243679689,2.150472504,8.002413,5.902
-0.740176686,-1.272158222,0.606760154,-0.952457199,1.146331715,-0.364270752,0.391422154,1.150643588,-0.685209004,1.38653085,-0.157747542,1.190863972,1.088875005,1.057362153,-0.462735564,0.08260482,0.314650677,1.174437832,0.064620265,0.633211001,4.098097,1.5519
-0.588834723,-0.721550587,0.615327689,-0.789589638,0.833885647,-0.12988184,0.391422154,0.839089177,-0.590418525,0.845684376,-0.251757321,0.22981874,0.468153706,-0.362604448,-0.047612417,0.366428682,-0.283561001,1.174080485,-0.204479013,0.249815653,2.881896,1.45205
-1.190422308,0.857010597,-0.821783203,-1.100954093,0.866339262,-0.818840046,-1.06702525,0.869240827,-1.083329019,1.116107613,-0.719886623,-0.090529671,-1.170550521,0.55050759,-0.984513721,0.831899816,0.830647209,1.447380011,-0.689622925,-0.71984281,3.369328,2.0676
-0.387688979,-0.345430135,2.521604255,-1.144066095,0.983911991,1.009171233,1.182981124,0.986696038,-0.352088176,0.536629249,-0.402525783,1.099335855,0.269522891,-0.362604448,0.174995556,0.945429361,-0.616329972,0.867837,0.227355184,0.960071335,2.209161,1.513
-0.924580241,-0.712392872,0.622218967,0.000797056,0.115449308,-0.77994808,-0.995784942,0.119673115,-1.083329019,0.304837903,-0.454431809,-1.223190124,1.28750582,0.620151728,-0.040296216,1.206547314,0.704849535,0.639552232,1.545686575,-0.303563619,5.256477,3.6503
-0.72648609,-0.824002527,0.610485169,-0.245899397,0.537143726,-0.529483822,-0.578237585,0.538002786,-0.514586141,0.57526114,-0.039988199,0.218377725,0.51781141,-0.362604448,-0.647730934,1.206547314,0.560750936,0.907120288,-0.12668254,0.093898073,4.516741,3.6221
